id,prompt,completion,coherence,repetition,entity_consistency,ending_completeness,grammar,average
0,"Spot. Spot saw the shiny car and said, ""Wow, Kitty, your car","Spot. Spot saw the shiny car and said, ""Wow, Kitty, your car is very heavy!"" He said, ""It's too hard, Tom.""

Tom looked at the car and said, ""Look, Lily. I want to play with it.""

""I don't want to play with it, Tom. It's fun!"" said Tom.

They went to the kitchen and picked up the car. But they were not happy. They saw the car fall from the car and tried to open it.

""Look,",5,3,2,2,2,2.8
1,"Once upon a time, in a big forest, there lived a rhinoceros","Once upon a time, in a big forest, there lived a rhinoceros named Elly. Elly loved to run and play with his friends. One day, Elly saw a big, red ball. He wanted to play with it, but he wanted to eat it.

Benny tried to grab the ball, but it was too heavy. He tried to catch it, but he couldn't. He tried and tried, but he couldn't reach it. He felt sad and cried.

But then, Elly heard a loud",5,4,3,3,4,3.8
2,"Once upon a time, in a small yard, there was a small","Once upon a time, in a small yard, there was a small boat. It was very special because it could climb up far away. It wanted to climb up the sail, but it was too slow.

One day, a little girl named Lily came to the lake. She saw her dad and asked, ""What is that big boat doing, Lily?""

""That's a big boat, Lily. It's so big and fun,"" replied her dad.

Lily took the boat to the lake. She saw a",5,4,3,2,4,3.6
3,"Once upon a time, there was a thoughtful girl named Sue. Sue","Once upon a time, there was a thoughtful girl named Sue. Sue had a big, red ball. She loved to play with it all day long.

One day, Sue found a big, soft ball. She was so happy to see it. Sue wanted to play with her toy, but she wanted to play with the ball too. She asked her mom, ""Can I play with it?""

Sue said, ""Yes, please!""

Sue ran to the house and bought the ball. She said, """,5,3,3,5,3,3.8
4,"Once upon a time, there was a kind farmer. He had a","Once upon a time, there was a kind farmer. He had a big box with a box of metal box. Every day, he would roll the box and make a nice box for his mom.

One day, a little girl called Mia came to the box. She saw the box and she said, ""This box is for you, Tom."" Tom was curious and wanted to open it. He opened the box and he saw a tiny box inside. He wanted to open it and see how heavy he was.

He tried to",5,4,2,2,4,3.4
5,"Once upon a time, there was a little girl named Lucy. She","Once upon a time, there was a little girl named Lucy. She had a big brother named Max. Max was very rude and kept asking if her brother wanted to play with him.

One day, Max went to the park. He saw a big sign that said he wanted to play with. Max was scared and he ran away from the sign that said he would be okay.

At first, Max didn't like the sign, but he was a little sad. He tried to close the sign of the sign, but he couldn",5,3,3,3,4,3.6
6,"Once upon a time, there was a little brown dog named Spot.","Once upon a time, there was a little brown dog named Spot. Spot loved to play with his friends, but they always couldn't play with him. One day, Spot saw a shiny rock in the grass. He wanted to climb it, but he was too small to reach it.

Spot's friend, a little mouse named Max, saw him trying to catch a ball, but he was too small. Max got angry and said, ""Don't cry, Max. I'm sorry I didn't mean to hurt my knee.""
",5,4,3,5,4,4.2
7,"Once upon a time, there was a little boy named Tom. He","Once upon a time, there was a little boy named Tom. He was three years old. Tom had a big, white tail. He had a beautiful stick on it.

One day, Tom went to the park with his mom. He saw a big tree with many trees and shapes. Tom wanted to see the tree. He wanted to climb it but his mom said no.

Tom ran to the tree and tried to climb the tree. But he could not reach it. He ran and ran, but he couldn't see the",5,5,4,2,4,4
8,"Once upon a time, there was a big dog named Max. Max","Once upon a time, there was a big dog named Max. Max loved to explore the world around him. One day, Max found a big rock in the grass. He wanted to make it look like it. Max decided to take it to his friend, the rock.

Max saw a big rock and he wanted it. He pushed it around his nose, but it was too high. Max reached for the rock, but he couldn't reach it. It started to fall and hurt! Max was sad.

The rock got dark",5,5,4,3,4,4.2
9,"Once upon a time, there was a girl named Mia. Mia loved","Once upon a time, there was a girl named Mia. Mia loved to play with her toys. She would run and jump and swing on her bike. One day, she heard a loud noise. It was her friend Sue. Sue was so scared she ran away from her house. She ran to her mom and told her what happened. She said she wanted to play with her friend. Sue thought about it and decided to go. They went to the park and got some water. They sat down and laughed. Sue was happy to have a new",5,4,3,3,4,3.8
10,"Once upon a time, there was a little boy named Tim. Tim","Once upon a time, there was a little boy named Tim. Tim had a pretty dress that was big and soft. He loved to wear it every day to play with. One day, Tim saw a beautiful butterfly in the garden. He wanted to catch it, so he jumped on it.

Tim's mom saw him and said, ""Tim, look at my pretty butterfly! You can't play with it."" Tim said, ""Yes, it's nice."" He gave Tim a big hug and said, ""I love it, Mom",5,5,3,3,3,3.8
11,"Once upon a time, there was a little boy named Tom. Tom","Once upon a time, there was a little boy named Tom. Tom had a great idea. He would put on his shoes and go outside to play with his friends. 

One day, Tom and his friends found a big box. They decided to build a tower. Tom picked a stick and threw it to his friends. They were amazed by the tower. 

Tom and his friends had so much fun playing with the ball. They all ran around, playing with it. 

Tom said to his friends, ""Let",5,4,3,3,3,3.6
12,"Once upon a time, in a big park, there was a fun","Once upon a time, in a big park, there was a fun village. In this village, there were two friends, Ben and Ben, and Lily. They wanted to be friends with the new things. Ben said, ""Yes, we can!""

They played with their toys and ran around the park. They had fun. But when they got tired, Ben said, ""We need to go to the big hill. We need to wait for the fun!""

They left, but they didn't know what to do. They",5,5,3,3,4,4
13,"Once upon a time, in a small house, there lived a kind","Once upon a time, in a small house, there lived a kind boy named Tim. Tim loved to play with his ball and eat cookies. One day, Tim's mom took him to the park to play with his toys. She gave him a new toy and a red ball.

Tim played with his toys and took a bite. His mom saw the big ball and said, ""Tim, look at that ball!"" Tim felt happy and said, ""Thank you, Mom. Let's play together."" They played with the ball and had",5,4,2,3,4,3.6
14,"Once upon a time, there was a pirate named Tom. Tom was","Once upon a time, there was a pirate named Tom. Tom was a very smart girl. He lived in a small house with his mom and dad, who loved to play and explore. 

One day, Tom's dad said to him, ""You don't have to go to school before doing a big party!"" Tom was excited and asked, ""What is the best way, dad?"" His dad said, ""It's a big pool, and it will be so beautiful."" 

Tom and his dad looked at the pool",5,5,3,3,4,4
15,"One day, a young boy named Tim found a dull, round rock.","One day, a young boy named Tim found a dull, round rock. It was blue and fluffy and had white fur on it. Tim thought the rock was so pretty, so he decided to take it with him to show his mom.

As Tim went to get his bike, he saw a big bird. The bird looked sad because it was so big and red. Tim wanted to help the bird, so he ran over to the bird.

Tim asked his mom, ""Can I please get the bird, please?"" His mom said",5,5,3,3,4,4
16,"Once upon a time, there was a graceful cat named Kitty. She","Once upon a time, there was a graceful cat named Kitty. She lived in a big house with many other animals. Kitty had many friends, but she was very friendly. She lived in a big house with many animals.

One day, Kitty saw a big box in the corner. She wanted to open it, but she had to be careful. She looked around and saw a big bird near the box. The bird was sad, so Kitty did not answer.

Kitty saw Kitty and wanted to help. She asked her mom",5,3,3,3,4,3.6
17,"Once upon a time, there was a little boy named Tim. Tim","Once upon a time, there was a little boy named Tim. Tim loved to play outside in the sun. One day, Tim wanted to build a rock. He hopped to the rock and started to swim. But, he found his big rock and he didn't want to get it. He felt sad and decided to jump in the pond.

Tim's friend, a small girl named Lily, came to help Tim. Tim showed her his red ball. Lily was happy to help and they played with the rock together. They had a fun",5,5,3,3,4,4
18,"Once upon a time, there was a big, red barn. Inside the","Once upon a time, there was a big, red barn. Inside the barn, there were many animals. They were very happy and had a friend.

One day, a big bird saw the bear and said to him, ""I need help. Can you help me put your food in my basket?"" The bird thought for a moment and then said, ""Yes, I will help. Let's put it on the table.""

They worked together to build a nice home. They put the food in a big box and set it up",5,5,2,3,4,3.8
19,"Once upon a time, there was a big, heavy alligator. He lived","Once upon a time, there was a big, heavy alligator. He lived in the sea with his family. One day, the sailor saw a big fish in the sea. He wanted to get the fish out, but he didn't want to let his family get to the sea.

As he was walking, he saw his dad. The sailor asked his dad to help him. The sailor said he could help his dad with the net. He helped his dad put the fish in the boat.

He took his net outside and brought it",5,4,4,3,4,4
20,"One day, a little boy named Tim went to play with his","One day, a little boy named Tim went to play with his toy car. He was very happy and played with his toy car. He played with his toy car and took it to the park.

At the park, Tim saw a big slide. He wanted to push it to his dad. But he could not. He wanted to play with his car. He asked his dad if he could play with it. His dad said no, he could not.

At first, Tim went back to the park and he saw his",5,2,4,3,4,3.6
21,"Once upon a time, there was a big whale. The whale lived","Once upon a time, there was a big whale. The whale lived in a big castle with many other animals. One day, the whale saw a little mouse. The fish wanted to help. The whale said, ""Can I help you?"" The whale said, ""Yes, I can help you.""

The whale used the blanket to clean the bug. The whale and the little mouse were happy to have a friend. They played together in the lake, and the mouse was so happy. They played all day and had fun together. And",5,4,2,3,4,3.6
22,"Once upon a time, there was a lively little boy named Tim.","Once upon a time, there was a lively little boy named Tim. Tim loved to play with his toys and run around outside. One day, Tim met a little boy named Timmy. He had a big bag full of toys and books. Timmy wanted to show his friends, so he ran up to him.

Timmy's mom said, ""Timmy, you have to be careful with your toys."" Timmy didn't want to be organized. He thought he was really good. But then, he saw a shiny new toy",5,5,3,3,4,4
23,"Once upon a time, there was a little boy named Tim. Tim","Once upon a time, there was a little boy named Tim. Tim had a toy car that he loved to play with. He would put his toy car on a bed and run around. One day, Tim wanted to play with his toy car. He went to his room and took his toy car to the store. He put the toy car in the car and waited patiently. When he saw it, he was very sad. But his mom said, ""Don't worry, Tim. I will help you find your car.""

Tim went",5,4,3,3,4,3.8
24,"Once upon a time, there was a little girl named Amy. Amy","Once upon a time, there was a little girl named Amy. Amy was only three years old and she was very curious. One day, she found a small puppy. The puppy was very big and very scary. Amy was scared and wanted to help the puppy.

So she picked up the puppy and ran away from the puppy. But before she left, Amy heard a voice calling out for help. The puppy ran towards the puppy, trying to find its home, so it reached out and touched its back.

The puppy was so",5,4,3,3,4,3.8
25,"One day, a girl named Lily and a boy named Tom were","One day, a girl named Lily and a boy named Tom were playing outside. They saw a big tree with a bush.

""Let's climb the tree and look at it!"" said Tom.

""Sure!"" Lily said.

Tom watched as Lily swam closer to the tree. It was round and round. He saw a boy crying and asked, ""What's that big boy doing, Timmy?""

""I'm looking for something to eat,"" Tom said.

""I'm sure he can",5,5,2,3,2,3.4
